,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,title,company,location,description,postDate,position
98,,,,,,Full Stack Engineer Intern/Co-Op,Questrade Financial Group,"Toronto, ON","Questrade Financial Group (QFG) of Companies is committed to helping Canadians become much more financially successful and secure. We are everything a traditional financial institution is not. Our vision is to revolutionize financial services for the benefit of Canadians by providing the most innovative and cost efficient financial services online.

That’s why we empower our employees to continuously grow their professional careers with QFG. We believe in having a diverse, inclusive place to work and our flexible working arrangements brings that to life so you can unleash your creativity. Our values are a part of our DNA, and we care deeply about our people helping us fulfill our mission and become an important part of our community. We are always looking for like-minded professionals to join our team. Come grow with us.

What’s it like working as a Full Stack Engineer Intern/Co-Op?
The Full Stack Engineer Intern/Co-Op will be involved in the development of functionally rich, robust and user friendly web and mobile applications, following through all stages of the Agile software development life cycle from inception to implementation. The developer will collaborate on a cross functional team including UX Design, QA and other engineers in the implementation of features end-to-end across all layers, and the growth of best practices and technological advancements. The ideal candidate for this role should be able to thrive in dynamic environments, have a strong work ethic, positive energy and the ability to innovate.

Need more details? Keep reading…

You will be responsible for:

Developing, testing, debugging back-end services and mobile and web apps
Enhancing and modifying existing applications as needed to ensure add new features or improve user-experience
Diagnosing and troubleshooting problems with existing applications
Collecting system performance and metrics to enable monitoring and operation
Interacting with designers, developers, QA testers, copywriters, product owners and others in order to understand requirements and scope of work
Helping the team to estimate work efforts for user stories, including determining requirements, dependencies and risks
Supporting the team in technical decisions and development estimates
Participating in and contribute to all Agile Scrum ceremonies

So are YOU our next Full Stack Engineer Intern/Co-Op? You are if you…

We’re looking for someone with:

Strong analytical and problem solving skills
Strong organization, communication, and interpersonal skills
A strong commitment to upgrading technical skills on an ongoing basis and a willingness to share their knowledge with others
The ability to take initiative and get things done

To succeed, in this role, you should:

Be currently working towards a Bachelor’s Degree in engineering, computer science or equivalent.
Possess an understanding of web technologies.
Understand Object-Oriented Programming concepts, algorithms, data structures and design patterns.
Have a basic knowledge of frontend technologies (Javascript, HTML and CSS). Experience with a modern web framework (Angular, React, Vue) is a plus.
Have experience building REST APIs. Experience with .Net Core or Node.js is a plus.
Have experience with databases. Experience with non-relational databases is a plus.

Sounds like you? Click below to apply!

#LI-BB1

At Questrade Financial Group of Companies, with multiple office locations around the world, we are committed to fostering a diverse, inclusive and accessible work environment. We value the unique skills and experiences each individual brings, and believe that when our teams feel supported and motivated, their creativity becomes a source of innovation. We are also committed to creating and sustaining a collegial work environment in which all individuals are treated with dignity and respect and also one which reflects the diversity of the communities we serve and operate in to help us revolutionize financial services for the benefit of all of our customers. Candidates selected for an interview will be contacted directly. If you require accommodation during the recruitment/selection process, please let us know and we will work with you to meet your needs.",Posted10 days ago,developer
99,,,,,,Software Engineer - PEY Intern,Intel,"Toronto, ON","Job Description
Come intern with one of the largest electrical engineering companies in the world.

Come Intern with our Programmable Solutions Group (PSG).

You will work on some aspect of the Intel Quartus compile system.

Roles and responsibilities may include to work on some of the most difficult and interesting algorithmic problems around.
Qualifications
You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates.
Experience listed below would be obtained through a combination of your school work/classes/research and/or relevant previous job and/or internship experiences.

Minimum Requirements

Must be pursuing a Bachelor's degree in Computer Engineering, Engineering Science, Computer Science, Math, Electrical Engineering or equivalent.
Minimum 3 months of programming experience in C, C++, or Python.
Preferred qualifications
At least one course in digital logic
Inside this Business Group
The Programmable Solutions Group (PSG) was formed from the acquisition of Altera. As part of Intel, PSG will create market-leading programmable logic devices that deliver a wider range of capabilities than customers experience today. Combining Altera's industry-leading FPGA technology and customer support with Intel's world-class semiconductor manufacturing capabilities will enable customers to create the next generation of electronic systems with unmatched performance and power efficiency. PSG takes pride in creating an energetic and dynamic work environment that is driven by ingenuity and innovation. We believe the growth and success of our group is directly linked to the growth and satisfaction of our employees. That is why PSG is committed to a work environment that is flexible and collaborative, and allows our employees to reach their full potential.

Intel is committed to a culture of accessibility. Intel provides accommodations to applicants and employees with disabilities. Find information and request accommodation here",Posted9 days ago,developer
100,,,,,,newadministrative manager,FANCYTOUR CANADA INC.,"North York, ON","Specific Skills
Plan, administer and control budgets for client projects, contracts, equipment and supplies
Interview, hire and provide training for staff
Plan, organize, direct, control and evaluate the operations of a department providing a single administrative service or several administrative services
Prepare reports and briefs for management committees evaluating administrative services
Direct and advise staff engaged in providing records management, security, finance, purchasing, human resources or other administrative services
Personal Suitability
Flexibility
Excellent oral communication
Excellent written communication
Organized",Posted3 days ago,manager
101,,,,,,newOffice Manager,Bitbuy Technologies Inc.,"Toronto, ON","About UsAt Bitbuy, our mission is clear: to provide convenient, dependable and secure access to Bitcoin and other digital currencies. We believe that cryptocurrency is paving the way for retail, and corporate investors alike.Being Canada’s most trusted platform is not easy. We pride ourselves in providing top-notch security, convenient funding options, and unmatched customer service for our users.Bitbuy is a Federally Incorporated organization and is registered with FINTRAC as a Money-Service Business. Our business won a Notable Startup award in 2018 and ranked 54th on 2020 Startup list by Canadian Business. With offices in Toronto and Halifax, we are now proudly a team of over 60 talented individuals and counting.Position overviewWe are looking for an energetic and enthusiastic Office Manager to join our growing team! This role will report directly to the HR Manager, and will be responsible for many areas including office management and administration, executive assistance, event planning, and lending a hand anywhere it is needed!Who You Are- You are highly organized and always plan in advance- You enjoy wearing many hats, and are down for anything!- You are a natural caregiver with an outgoing and friendly personality- You have at least 1 year of experience in an administrative role- You have experience working in a faced-paced, start up environment- You are willing and able to work from our office 5 days a weekWhat you’ll do- Partner with the People team to execute on an amazing onboarding experience for new employees- Assist in the planning and execution of all team/org-wide events- Assist senior level executives with various corporate initiativesWhat You Get- Competitive Salary- Fully compensated health benefits- Paid vacation, sick and personal time- An open and inclusive culture and work environment- A chance to join a rapidly growing team in an exciting industry!Bitbuy is committed to providing accommodations at all stages of the recruitment process in accordance with applicable human rights and accommodation legislation. If contacted for an employment opportunity, please advise us if you require accommodation.Job Type: Full-timeSalary: $50,000.00-$60,000.00 per year",Posted1 day ago,manager
102,,,,,,Administration Manager,Scarborough Community Legal Services,"Toronto, ON","Scarborough Community Legal Services (SCLS) is a non-profit community based legal clinic primarily funded by Legal Aid Ontario. We provide clinic law services to low income individuals in a culturally diverse community. Our work includes individual case work, public legal education, law reform, and community development activities mainly in the areas of tenants’ rights, income maintenance law, immigration law, and workers’ rights.

We are seeking an administration manager to join our team. This position reports to the Executive Director and has direct reports

Duties and Responsibilities

Management & Human Resources Responsibilities

Supervise non-legal staff - discuss and evaluate performance of existing employees and interview and hire new employees
Issue discipline under the Collective Agreement, up to and including preparing and filing disciplinary letters, issuing suspensions, and recommending termination to the Board of Directors
Respond to and resolve employee and client complaints regarding non-legal staff
Maintain employee personnel records
Approve employee leave requests
Assign administrative tasks to staff
Work in collaboration with the Executive Director to manage the Clinic’s budget and forecast the impact of changes to funding and working conditions
Develop and implement workplace policies in collaboration with the Executive Director, including human resources policies and procedures
Attend Board of Directors’ meetings, advise the Board on administration matters, and prepare minutes of Board and Committee meetings
Participate in union related management committee meetings and collective bargaining
Communicate with Legal Aid Ontario regarding funding issues

Office Administration & Support

Manage office operations
Find and implement solutions regarding office administration issues
Resolve technical problems and assist in resolving IT issues
Ensure efficient administration and coordination of all Clinic services
Provide administrative support to the Board of Directors, Executive Director, and other legal staff as necessary
Manage the",Posted10 days ago,manager
103,,,,,,Marketing Manager - Scale Hospitality,Scale Hospitality,"Toronto, ON","MARKETING MANAGERThe Marketing Manager is responsible for creating and executing marketing plans that drive sales and increase customer loyalty. Key components of this position include creating consumer insights, monitoring trends, creating marketing strategies and plans, developing integrated campaigns, and monitoring/improving market results. Working closely with Senior Management, the Marketing Manager will manage the day-to-day marketing activities and long-term marketing strategy for the Company. The Marketing Manager will act as an advisor to the business on all aspects of marketing, influencing business strategy, implementing sales plans, managing the Marketing department, as well as ensuring the brands are protected and delivered in the customer experience.Key Responsibilities: GeneralLead the strategic direction of all brand creation and development within the CompanyManage and coordinate the day-to-day execution of all marketing initiatives and activities within the Marketing departmentWork within the overall marketing strategy, and assist in key strategy development according to analytical findingsResponsible for all aspects of customer acquisition efforts across marketing channels (online, offline, mobile, social, events) to create demand and awarenessDevelop strategy, tools and processes to track and measure customer retentionLeverage customer insights, analytics and segmentation to increase customer retention targets in support of restaurant salesWork with other departments to ensure a cohesive and collaborative approach to ensure alignment in customer retention strategies and customer experienceSupport the CEO and senior management team by researching and leveraging business/market intelligence data and insightsConduct general market research to keep up-to-date on trends and competitor’s marketing movementsUpdate job knowledge by participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizationsFinancial ManagementManage department operations planning, budgeting, outsourcingMeet marketing and sales financial objectives by forecasting requirements, scheduling expenditures, analyzing variances, initiating corrective actionsDetermine annual and gross-profit plans by forecasting and developing annual sales quotas; analyzing trends and results; establishing pricing strategies; recommending selling prices; monitoring costs, competition, supply, and demandAssist with annual budget development and manage departmental budget and expensesDigital Marketing PlanningDevelop continuous optimization strategies to improve the performance of paid search strategiesManage and support all SEM/SEO initiativesDevelop and design innovative and compliant marketing materials (including but not limited to e-blasts, promotional videos/media, print and digital advertisements)Evaluate and improve process efficiencies and identify opportunities to optimize spendContent DevelopmentWork with marketing and graphic design team to develop and iterate content strategies for Scale Hospitality’s brandsAnalyze and report on content marketing data, using data to drive content decisionsWork closely with Graphic Designers to develop a strong visual signature and identity for all brandsIdentify and implement partnerships, establish and maintain relationships with influencersStrategic PlanningResponsible for planning, development, and implementation of all Company brand’s marketing strategies, marketing communication and public relations activities, both internal and external and measuring successProduce monthly marketing reports and provide actionable insights for every brandLead quarterly marketing planning for all brands, and drive strategy and growthManage all PR endeavours through liaising with external agencies on marketing initiatives and events that encourage editorial awareness and coverage across print and digital media channelsEnsure all communication is aligned with brand strategy, consistent in terms of style, quality and voice, and optimized for search and user experienceAccomplish marketing and sales objectives by planning, developing, implementing, and evaluating advertising, merchandising, and trade promotion programs; developing field sales action plansImprove product marketability and profitability by researching, identifying, and capitalizing on market opportunities; improving product packaging; coordinating new product developmentDevelop strategic marketing plans to drive sales/profits and provide recommendations to various audiences to drive market demand through existing and new distribution channelsOversee key agency relationships; including media buying, public relations, consumer experience to ensure excellence in execution and meaningful ROIOperationsProvide and report on pertinent market information by collecting, analyzing, and summarizing data and identifying trendsProtect organization's value by keeping information confidentialSustain rapport with venues and management teams by organising regular meetings; exploring specific needs; anticipating new opportunities; ensuring end-to-end communicationOversee all content creation for websites, online communities, blogs, social media platforms, and other tools that are used to market and communicate with consumersMonitor site content and ensure information displayed on the website is accurate and current and has no broken linksPersonnel ManagementLead the marketing department and continue to build a team of creative employeesConsult on the hiring, training, and performance evaluations of marketing/graphic designer staff and oversee their daily activitiesCoordinate team members with different objectives to reach a desired end resultFoster a positive working environmentDirect the efforts of the marketing, communications, and graphic design team and coordinate at the strategic and tactical levels with other departments in the CompanyMentor and coach team as requiredSkills and QualificationsDegree in Marketing, Business or related field and/or equivalent experienceIn depth knowledge / expertise of the hospitality / food & beverage service industryEvent planning & management experienceSolid business acumen and strategic business senseAbility to develop and manage business plans as well as budgetsDemonstrated impact and influence skillsExcellent communication skills – verbal, written & presentation (must have an advanced understanding of English grammar)Ability to build and maintain strong business relationships with stakeholdersProven leadership skills – people and marketplace, lead by example by demonstrating a positive attitude, a strong work ethic and willingness to learnHigh achievement motivation – demonstrated results orientationStrong analytical, problem solving, and multitasking skills, and the ability to apply consistent attention to needs of the businessWell developed problem solving and decision making capabilitiesCreative thinker, results-driven, team playerMust be well-versed in the event landscape, pop culture, and current events that are relevant to our client demographicJob Types: Full-time, PermanentSalary: $65,000.00-$75,000.00 per yearBenefits:Dental careDiscounted or free foodExtended health careLife insuranceVision careApplication question(s):Are you legally eligible to work in Canada and have a valid SIN?Are you located in Toronto, On?Work remotely:No",Posted10 days ago,manager
104,,,,,,newTraffic / Logistics Manager,YM Inc.,"Toronto, ON","YM Inc. was founded on the strength of a single retail store in the heart of downtown Toronto in 1975, under the name Stitches. Today we are one of North America’s leading apparel retailers operating over 700 stores across Canada and the United States under the following banners: Stitches, Urban Planet, Urban Behavior, Sirens, Urban Kids, Suzy Shier, Bluenotes, West 49, Amnesia, Brooks Brothers, Mandee and Charlotte Russe.Our goal is to sustain performance that exceeds expectations. We are committed to creating a culture where people feel valued and inspired to achieve results. We give our people the appropriate tools, freedom and authority to make decisions. They are accountable for their actions and we recognize their efforts and reward their results. We attract and nurture the best people by providing leadership opportunities, career development and continuous learning. We are committed to leading by example and with integrity. We treat people with respect and dignity, promote the benefits of diversity and address challenges in a direct and compassionate manner. We engage people in our goals and objectives; we listen and act on new ideas where possible. That is our Philosophy.Position DescriptionThe Traffic / Logistics Manager is responsible for controlling the movement of merchandise from the carriers to varying warehouse locations. This position assesses traffic needs and delegates to team members based on current workload. Using supporting data to ensure that shipments move in a timely manner, the Traffic Coordinator communicates scheduled deadlines, and provides warning to the Logistics Coordinator when delivery dates/times may be in jeopardy, allowing for action to be taken.Duties and Responsibilities· Prioritize delivery of shipments based on the needs of the Company. Air/ Ocean freights are to be delivered to the· warehouses the same day as the release, provided that notification of the release is received prior to noon· Prepare packing slips for packages (containers and FCL/ LCL) and truck shipments.· Print OMNI/ all other freight forwarders Customers Releases and match with packing slips· Prepare truck shipments from USA and special “Customs Documents” for USA clearance· Provide daily Expected/Confirmed Merchandise Planners for all warehouses and email to the designated areas (Buyers, Allocation Analysts, Receiving Clerks, Warehouses. Administration)· Check ETA of container through CN and CP website· Provide weekly projections of all incoming shipments to all warehouses, the Director of Logistics and the· Coordinate supply inventory at SDR and all warehouse in the US.· Analyze reports to determine sufficiency of on hand supplies at both Head Office and all warehouses.Related Work Skills· Good communication skills both written and verbal· High attention to detail· Ability to work accurately in a fast-paced environment· Effective at building rapport and partnerships with store personnel· Excellent business phone etiquetteQualifications· College / University Diploma· 5 + years of experience in related field· Knowledge of retail environment is an asset· Excellent Proficiency in Microsoft Office, in particular Excel and Power PointAs a result of Covid-19, most of our employees presently work remotely. When required to attend the office, strict safety protocols are in place. We are currently utilizing a virtual hiring process and interview candidates by phone or Zoom/Teams.YM Inc. is an equal opportunity employer. If chosen to participate in the selection process, accommodations are available upon request. We will consult with the applicant to provide or arrange suitable accommodation in a manner that takes into account the applicant’s accessibility needs.Job Types: Full-time, PermanentSchedule:Monday to FridayExperience:logistics: 5 years (preferred)Work remotely:No",Posted6 days ago,manager
105,,,,,,newSecurity Services Manager,Exhibition Place,"Toronto, ON","Job Type: Permanent
Hours of work: 35 hours / WK
Salary Range: $80,114-$101,028/ per year
Posting Date: November 19, 2021
Closing Date: December 10, 2021
Exhibition Place is Canada’s largest entertainment venue, attracting over 5.5 million visitors a year. The 192-acre site is an integral component of Toronto and Ontario’s economy, particularly with respect to conventions, sport, festivals, recreation, culture, and tourism. Located at Exhibition Place is the award-winning Enercare Centre, Canada’s largest exhibition and convention centre which is now LEED Platinum certified, and Beanfield Centre conference venue which is LEED Silver certified. Since 2004, Exhibition Place has undertaken an environmental stewardship initiative, entitled GREENSmart; which includes the promotion of sustainable development, environmental initiatives, and leading edge green technologies and practices across the site. Our environmental initiatives have resulted in award-winning recognition across North America, such as the Platinum Waste Minimization Award from the Recycling Council of Canada, and have established Exhibition Place as a world leader in energy-efficient technologies.

Our compensation package offers a competitive salary and pay-for-performance incentives. In addition, our total rewards program includes participation in OMERS – defined benefit pension plan, 100% employer paid health & dental plan, long term & short-term disability coverage, professional development opportunities, and tuition reimbursement.

Exhibition Place has adopted a vaccination policy, as a condition of employment all new hires are required to be fully vaccinated and provide proof of vaccination confirmation prior to commencing employment.

As the Security Services Manager, you will be responsible for ensuring the implementation of plans and programs and deployment of people and tools to identify and mitigate risks, liabilities, and vulnerabilities specific to security. You will maintain a balanced combination of proactive and reactive investigations, enforcement of existing policies and procedures along with education and prevention in support of these primary responsibilities. You will be responsible for internal and external communications to advance initiatives relevant to asset, customer, employee protection, physical security and the preservation of Company goals, ethics, and reputation.

Major Responsibilities
Oversee all security matters associated with, but not limited to the Security Footprint of Exhibition Place’s operation.
Direct and provide leadership for security services through mentoring and leading the team
Responsible for loss prevention and investigation of theft and fraud occurrences whether internal or external.
Responsible for all aspects of physical security, related to Exhibition Place’s operations including but not limited to guard services, identification of employees (card access and identification card), unruly visitor management, removals, CCTV systems and security contractors.
Ensure local liaison with the authorities, including Toronto Police, Toronto Parking Authority, and City of Toronto.
Responsible for developing and ensuring the uninterrupted services related to the operational security risk assessment and risk mitigation.
Develop, enhance, and operationalize processes to better execute customer expectations.
Seek innovative approaches to security incident response programs
Interact with senior organizational leaders as required to facilitate the effective handling of incidents.
Communicate exceptionally well with business and technical audiences.
Lead post-incident analysis and documentation to ensure accurate root causes of incidents are identified, appropriate preventive actions are realized and tracked, and reduce likelihood of.
Develop, measure, analyze, and maintain the internal and external service metrics for Service Operation, providing timely reports to leadership teams.
Leverage metrics to make better informed decisions on how to improve the capability and functionality of the organization.
Drive people management responsibilities for the organization
Provide escalation support for both customer management challenges, security incidents, Lead, coordinate, and train others on effective management of security incidents and operational responses for customers.
As a member of the management team, provide leadership and assist with strategic objectives.
Supervise, plan and coordinate work assignments and the administration of security services.
In conjunction with the Parking Services Manager, assist in managing all aspects of parking enforcement grounds wide.
Developing, coordinating and / or providing staff training programs as required.
Responsible for scheduling and approve Time & Attendance/ payroll using ADP Workforce Now.
Developing and monitor operating budget for the division.
Perform other duties as required.
Required Qualifications
Certified Protection Professional and/or Accredited Security Professional degree or equivalent combination of education and experience in a discipline pertinent to the job function.
Extensive experience providing security services in a large scale public environment.
Experience in managing staff in a security services environment.
Possess & Maintain a valid full G Class Driver’s License.
Possess & Maintain a valid Ontario Security Guards License.
Experience utilizing software packages, Security CCTV, and Access Control equipment.
Experience in emergency and evacuation procedures including first aid and Cardio-Pulmonary Resuscitation.
Good interpersonal skills with the ability to communicate effectively, both verbally and written at organizational all levels.
Proven customer service skills.
Ability to work days, evenings and weekends including holidays, as required to support operational requirements.
Required to provide a Clear Police Reference Check.
Vaccination:

All Exhibition Place employees are required to be fully vaccinated as a condition of hire in accordance with the Exhibition Place Vaccination Policy.

Equity, Diversity and Inclusion:

Exhibition Place is committed to fostering an inclusive, accessible environment where all employees and members of the public feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of the public and the communities in which we live and serve.

Accommodation:

Exhibition Place is committed to creating an accessible and inclusive organization. We are committed to providing barrier-free and accessible employment practices in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). Should you require Code-protected accommodation through any stage of the recruitment process, please make them known when contacted and we will work with you to meet your needs. Disability-related accommodation during the application process is available upon request.

We thank all applicants for their interest in this opportunity. However, only those selected for an interview will be contacted.",Posted2 days ago,manager
106,,,,,,"Assistant Store Manager, Winners, Leaside",Winners,"Toronto, ON","Hannah discovered OPPORTUNITY working at TJX
Having now worked and thrived in several of our stores, Hannah knows that opportunities for learning can be found around every corner. We like to get everyone involved in everything we do, because we always work together.
What you’ll discover
Eligible Associates can look forward to:
One-of-a-kind, inclusive culture
Benefits that take effect your first day
Dedicated training and on-the-job resources to enhance your development
Three weeks’ vacation with option to buy an additional week through our Vacation Trade Program
Tuition reimbursement to support your career progression
Merchandise discount for yourself and eligible family members at all TJX Canada stores
Associate and Family Assistance Program to support healthy living
What you’ll do
It’s safe to say, there’s no shortage of variety in what we do. Here are some key responsibilities of the role:
Overall accountability to support store sales results, expense management, reduce shrink and damages by managing assigned area that may include merchandising and presentation, backroom, frontline, cash office, customer service, markdowns, scheduling, shipping and receiving; direct accountability for recruitment, training and Associate development, performance and acts as a role model on delivering positive Associate and customer experience in Store
Provides input on succession plans to meet future needs; includes ensuring each Associate has a development plan that supports their growth and career aspirations
Communicate and execute action plans to Associates on upcoming projects, targets, priorities, company initiatives, events, promotions or any other store initiatives; implement changes to Store floor plans as needed
Accountable to support established store sales, expense targets and customer service metrics by implementing strategies with impact to store payroll, store budgets, loss prevention and improving customer service
Support competitive analysis of other retailers on merchandise mix, inventory levels, customer demographics when sales have been impacted due to cannibalization, market or competition changes to inform recommendations to District Managers and Business Development teams
For a closer look into the Assistant Store Manager role, click HERE
What you’ll need
To begin your career with us, you’ll have:
Post-secondary education is preferred; minimum high school education required
Minimum 2 to 3 years supervisory experience in Retail including but not limited to operations, customer service, merchandising, people management, health and safety and loss prevention
Demonstrated management skills with the ability to positively influence management and staff to act in the best interest of the Company by providing advice feedback and guidance to resolve problems
Strong communication and interpersonal skills including interviewing, negotiating, listening, conflict management, information gathering and coaching
Posting details
Internal TJX Associates: please review this opportunity with your direct supervisor or manager prior to applying. In order to be considered, your completed Internal Candidate Endorsement Form must be attached to your application. In addition, please use your personal email address when submitting your application.
Every day is an opportunity to discover something new about our business, our partnerships and even something exciting about yourself. By becoming a member of our TJX Canada family, you’ll have the full support of a diverse, close-knit group of people across our Distributions Centres, Retail Stores (Winners, HomeSense, Marshalls) and our Office locations. Are you ready to Discover Different? Here at TJX Canada, we are an equal opportunity employer committed to the inclusion and accommodation of all individuals. For additional assistance please email accessiblecareers@tjxcanada.ca",Posted11 days ago,manager
107,,,,,,newAssistant General Manager,The MRG Group,"Toronto, ON","Assistant General Manager, East (The Porch & Rock ‘N’ Horse Saloon)The MRG GroupToronto, ONWe are looking for an energetic, fun and enthusiastic leader who shares our passion for great food, entertainment and creating memorable experiences for our guests. Come join us as our next Assistant General Manager!This position is well suited for a highly organized individual with a commitment to Guest Experience, personal and professional development, and systems management. You will be working in tandem with the General Manager, helping to deliver positive shareable experiences at two of our iconic venues: The Porch (Toronto’s go-to spot for summer drinks, food truck eats, and an amazing patio vibe with unmatched views of the CN Tower) and Rock ‘N’ Horse Saloon (Toronto’s home for all things Country!)The MRG Group by the numbers in 2021:1000+ live shows per year via the largest Independent Concert Promotions Company in Canada, MRG Live (2019)5 Live Entertainment Venues8 Hospitality Properties10+ Large Scale Events per year (2019)Reporting to the General Manager, the successful candidate is a true hospitality professional at heart who has a strong background in venue operations. This leader is responsible for creating positive shareable experiences for guests and employees in our theatres and venues. They have great initiative and are driven and passionate about live entertainment experiences, events and food & beverage. They inspire their team and lead their employees to success by exceeding customer expectations.This person will also thrive on the desire to run smooth operations and will assume the role of a detail-oriented professional, well-balanced opportunist who is a pro at handling high volume environments (and the pressures that come along with it) and who thrives on the challenges that come with a growing company. They are passionate about setting up their teams for success, they value strong communication with team members and operate on a foundation of trust and respect.Responsibilities: Support the General Manager at all points including service, safety, capacity, atmosphere, and cleanliness.Effectively address guest concerns in a fair and honest wayCreate positive relationships with your team, exhibiting empathy and respect for people at all levels.Develop and maintain a positive work culture for all employees.Coach, develop and empower Operations Managers and Shift Leaders.Ensure brand standards are being metWorking alongside our sales team, follow through with service expectations for special events (food service, staffing levels, room set-up)In this position, you will be the champion of Positive Shareable Experiences. You will be empowered to go above and beyond to make the day for your guests. At the same time, enjoying a fun and inviting work environment with opportunities to grow and learn every day.Must-haves: Passion for creating amazing guest experiences by cultivating a fun and safe atmosphere.Positive and calming natureLove of systems and keeping businesses organizedProven track record of hiring, training and developing engaging team members.Ability to resolve conflict in a fair and diplomatic wayStrong problem solving skillsNatural ability to create positive relationships with your team, exhibiting empathy and respect for people at all levels.Drive to learn and grow in the hospitality industryAvailable to work weekends, evenings and holidays as neededKeeping Safe: We will provide you with all the personal protective equipment- masks and sanitizersAll colleagues will be required to attend a COVID-19 specific Health & Safety training session before attending their first shiftCompliance with local government regulationsWe thank all applicants for their interest, however only those selected will be contacted.Job Type: Full-timeSchedule:8 hour shiftApplication question(s):Are you on the path to obtaining full vaccination against COVID-19, or are you medically exempt under the law? (Note: Proof of vaccination or medical exemption will be required for this position)Are you eligible to legally work in Canada?Are comfortable attaining a background check for this position?Work remotely:No",Posted2 days ago,manager
108,,,,,,Assistant General Manager,Sky Zone,"Toronto, ON","CircusTrix is the industry leader in active indoor entertainment, including brands DEFY, Rockin’ Jump, and Sky Zone Trampoline Park+. With over 300 locations worldwide we are seeking Assistant General Managers to grow with us.
At CircusTrix, we’re invested in people. We’re looking for those who embody our values and core competencies, who thrive on action and energy, and who are interested in forging a career with CircusTrix. Our Assistant General Managers understand the mechanics of parks, people, and play.
Assistant General Managers (AGM) hold some of the greatest responsibility in the parks. Working alongside the General Manager, the AGMs manage park staff ensuring smooth operation of the park and keeping in line with corporate standards. Always looking to promote from within, the AGM role is the best way to work to become a future park General Manager. If you are looking for an exciting opportunity to put your great management skills to work, apply today!
Responsibilities
The Assistant General Manager is responsible for assisting the GM in crucial KPI’s of the business. The AGM will champion projects and work directly with corporate supporting departments to oversee the execution of company initiatives. In addition, the AGM will work a portion of their week as Lead On Duty. Additional duties include:
Assist with staff duty delegation- AGMs are responsible for opening, closing, and running the parks when managers are not present.
Conduct sales and recommendation of products based on guest needs. Every team member is responsible to sell and cross-sell all our products.
Complete incident reports. Any incident or injury that occurs at the park should have an incident report as a reference that is clear, detailed, and fact-based.
AGMs must be able to handle large amounts of money and will be required to cash in tills, cash-out tills, create deposits, and be aware of basic cash-handling procedures.
Maintain a friendly, outgoing personality with our guests and team members.
Provide guests with a safe and enjoyable experience.
Coordinate birthday parties and events.
Conduct daily, weekly, and monthly maintenance checks.
Assist in managing inventory on a weekly basis.
Act as a first responder to emergencies and respond appropriately.
Help maintain a clean environment; some janitorial duties will apply.
Other duties as assigned by the General Manager.
Skills and Experience
Bachelor’s degree or at least two years management experience
Compensation
Full time with benefits
$25 - 27/hr (CAD)
Experience
Preferred
1 - 2 years: Supervisor Experience
Education
Preferred
High School or better
Behaviors
Preferred
Loyal: Shows firm and constant support to a cause
Team Player: Works well as a member of a group
Enthusiastic: Shows intense and eager enjoyment and interest
Dedicated: Devoted to a task or purpose with loyalty or integrity
Motivations
Preferred
Entrepreneurial Spirit: Inspired to perform well by an ability to drive new ventures within the business
Ability to Make an Impact: Inspired to perform well by the ability to contribute to the success of a project or the organization
Flexibility: Inspired to perform well when granted the ability to set your own schedule and goals
Growth Opportunities: Inspired to perform well by the chance to take on more responsibility
Self-Starter: Inspired to perform without outside help",Posted12 days ago,manager
109,,,,,,newproduce manager - retail,A & F Galati Limited,"North York, ON","or equivalent experience
Business Equipment and Computer Applications
Electronic scheduler
Inventory control software
Electronic mail
Work Setting
Supermarket/grocery store
Specific Skills
Determine merchandise and services to be sold
Determine staffing requirements
Manage staff and assign duties
Plan budgets and monitor revenues and expenses
Resolve problems that arise, such as customer complaints and supply shortages
Plan, organize, direct, control and evaluate daily operations
Security and Safety
Bondable
Basic security clearance
Work Conditions and Physical Capabilities
Fast-paced environment
Work under pressure
Handling heavy loads
Attention to detail
Standing for extended periods
Tight deadlines
Ability to Supervise
5-10 people
Personal Suitability
Team player
Excellent oral communication
Excellent written communication
Organized
Collaborative
Analytical
Creativity
Efficiency
Energetic
Goal-oriented
Hardworking
Positive attitude
Time management
Benefits
Other Benefits",Posted4 days ago,manager
110,,,,,,Assistant Manager Trainee,Traction,"Toronto, ON","Hi there!

We're a venture backed start­up seeking assistant manager trainee in our Marketing Department. Earn up to $30/hour to start with rapid advancement to leadership roles at up to $40 and $50/hour.

As an assistant manager trainee, you'll be responsible for promoting the the brand targeted at small businesses within the GTA.

If you are Aggressive & Outgoing, we want to speak with you. No experience necessary, and full training provided.",Posted30+ days ago,manager
